day,hour,p1,p2
01.06.2018,00:00:00,135.5,73.5
01.06.2018,00:00:10,135.5,73.5
01.06.2018,00:00:20,135.5,73.5
01.06.2018,00:00:30,135.5,73.5
01.06.2018,00:00:40,135.5,73.5
01.06.2018,00:00:50,135.5,73.5
01.06.2018,00:01:00,135.5,73.5
01.06.2018,00:01:10,135.5,73.4
01.06.2018,00:01:20,135.5,73.4
01.06.2018,00:01:30,135.5,73.4
01.06.2018,00:01:40,135.5,73.4
01.06.2018,00:01:50,135.5,73.4
01.06.2018,00:02:00,135.5,73.4
01.06.2018,00:02:10,135.5,73.4
01.06.2018,00:02:20,135.5,73.4
01.06.2018,00:02:30,135.5,73.4
01.06.2018,00:02:40,135.5,73.4
01.06.2018,00:02:50,135.5,73.4
01.06.2018,00:03:00,135.6,73.3
01.06.2018,00:03:10,135.7,73.3
01.06.2018,00:03:20,135.6,73.3
01.06.2018,00:03:30,135.6,73.3
01.06.2018,00:03:40,135.6,73.3
01.06.2018,00:03:50,135.6,73.3
01.06.2018,00:04:00,135.5,73.3
01.06.2018,00:04:10,135.6,73.3
01.06.2018,00:04:20,135.6,73.2
01.06.2018,00:04:30,135.6,73.2
01.06.2018,00:04:40,135.5,73.2
01.06.2018,00:04:50,135.5,73.2
01.06.2018,00:05:00,135.6,73.2
01.06.2018,00:05:10,135.6,73.2
01.06.2018,00:05:20,135.5,73.2
01.06.2018,00:05:30,135.5,73.2
01.06.2018,00:05:40,135.5,73.1
01.06.2018,00:05:50,135.4,73.1
01.06.2018,00:06:00,135.4,73.1
01.06.2018,00:06:10,135.5,73.1
01.06.2018,00:06:20,135.4,73.1
01.06.2018,00:06:30,135.4,73.1
01.06.2018,00:06:40,135.5,73.1
01.06.2018,00:06:50,135.4,73.1
01.06.2018,00:07:00,135.5,73
01.06.2018,00:07:10,135.5,73
01.06.2018,00:07:20,135.5,73
01.06.2018,00:07:30,135.4,73
01.06.2018,00:07:40,135.4,73
01.06.2018,00:07:50,135.4,73
01.06.2018,00:08:00,135.3,73
01.06.2018,00:08:10,135.3,73
01.06.2018,00:08:20,135.3,73
01.06.2018,00:08:30,135.4,72.9
01.06.2018,00:08:40,135.3,72.9
01.06.2018,00:08:50,135.3,72.9
01.06.2018,00:09:00,135.3,72.9
01.06.2018,00:09:10,135.3,72.9
01.06.2018,00:09:20,135.4,72.9
01.06.2018,00:09:30,135.4,72.9
01.06.2018,00:09:40,135.3,72.9
01.06.2018,00:09:50,135.3,72.9
01.06.2018,00:10:00,135.3,72.8
01.06.2018,00:10:10,135.3,72.8
01.06.2018,00:10:20,135.3,72.8
01.06.2018,00:10:30,135.2,72.8
01.06.2018,00:10:40,135.2,72.8
01.06.2018,00:10:50,135.3,72.8
01.06.2018,00:11:00,135.3,72.8
01.06.2018,00:11:10,135.3,72.8
01.06.2018,00:11:20,135.3,72.7
01.06.2018,00:11:30,135.2,72.8
01.06.2018,00:11:40,135.3,72.8
01.06.2018,00:11:50,135.2,72.8
01.06.2018,00:12:00,135.2,72.8
01.06.2018,00:12:10,135.2,72.8
01.06.2018,00:12:20,135.2,72.8
01.06.2018,00:12:30,135.3,72.8
01.06.2018,00:12:40,135.2,72.8
01.06.2018,00:12:50,135.3,72.8
01.06.2018,00:13:00,135.2,72.8
01.06.2018,00:13:10,135.2,72.8
01.06.2018,00:13:20,135.2,72.8
01.06.2018,00:13:30,135.2,72.8
01.06.2018,00:13:40,135.2,72.8
01.06.2018,00:13:50,135.3,72.8
01.06.2018,00:14:00,135.2,72.8
01.06.2018,00:14:10,135.2,72.7
01.06.2018,00:14:20,135.2,72.8
01.06.2018,00:14:30,135.2,72.7
01.06.2018,00:14:40,135.2,72.7
01.06.2018,00:14:50,135.2,72.7
01.06.2018,00:15:00,135.1,72.7
01.06.2018,00:15:10,135.1,72.7
01.06.2018,00:15:20,135.1,72.7
01.06.2018,00:15:30,135.1,72.7
01.06.2018,00:15:40,135.1,72.7
01.06.2018,00:15:50,135.1,72.6
01.06.2018,00:16:00,135.1,72.6
01.06.2018,00:16:10,135.1,72.6
01.06.2018,00:16:20,135.1,72.6
01.06.2018,00:16:30,135.1,72.6
01.06.2018,00:16:40,135.1,72.6
01.06.2018,00:16:50,135.1,72.5
01.06.2018,00:17:00,135.1,72.5
01.06.2018,00:17:10,135.1,72.5
01.06.2018,00:17:20,135.1,72.5
01.06.2018,00:17:30,135.1,72.5
01.06.2018,00:17:40,135.1,72.5
01.06.2018,00:17:50,135.1,72.5
01.06.2018,00:18:00,135.1,72.5
01.06.2018,00:18:10,135.1,72.5
01.06.2018,00:18:20,135.1,72.5
01.06.2018,00:18:30,135.1,72.4
01.06.2018,00:18:40,135.1,72.4
01.06.2018,00:18:50,135.1,72.4
01.06.2018,00:19:00,135.1,72.4
01.06.2018,00:19:10,135.1,72.4
01.06.2018,00:19:20,135.1,72.4
01.06.2018,00:19:30,135.1,72.4
01.06.2018,00:19:40,134.5,72.2
01.06.2018,00:19:50,133.3,73.3
01.06.2018,00:20:00,132.1,74.5
01.06.2018,00:20:10,130.9,75.6
01.06.2018,00:20:20,129.7,76.8
01.06.2018,00:20:30,128.6,78
01.06.2018,00:20:40,127.4,79.2
01.06.2018,00:20:50,126.2,80.4
01.06.2018,00:21:00,125.1,81.5
01.06.2018,00:21:10,123.9,82.7
01.06.2018,00:21:20,122.7,83.9
01.06.2018,00:21:30,121.6,85.1
01.06.2018,00:21:40,120.4,86.3
01.06.2018,00:21:50,119.2,87.5
01.06.2018,00:22:00,118,88.8
01.06.2018,00:22:10,116.8,90.3
01.06.2018,00:22:20,115.7,92
01.06.2018,00:22:30,114.5,93.8
01.06.2018,00:22:40,113.3,95.5
01.06.2018,00:22:50,112.2,96.9
01.06.2018,00:23:00,111,98.1
01.06.2018,00:23:10,110,99.3
01.06.2018,00:23:20,108.8,100.5
01.06.2018,00:23:30,107.6,101.6
01.06.2018,00:23:40,106.5,102.8
01.06.2018,00:23:50,105.2,104
01.06.2018,00:24:00,104.1,105.1
01.06.2018,00:24:10,102.9,106.3
01.06.2018,00:24:20,101.7,107.5
01.06.2018,00:24:30,100.5,108.6
01.06.2018,00:24:40,99.4,110.2
01.06.2018,00:24:50,99.6,110.2
01.06.2018,00:25:00,99.8,110.1
01.06.2018,00:25:10,99.8,110.2
01.06.2018,00:25:20,99.7,110.1
01.06.2018,00:25:30,99.8,110.1
01.06.2018,00:25:40,99.7,110.1
01.06.2018,00:25:50,99.7,110
01.06.2018,00:26:00,99.9,110.1
01.06.2018,00:26:10,99.8,110.1
01.06.2018,00:26:20,99.7,110
01.06.2018,00:26:30,99.8,110
01.06.2018,00:26:40,99.9,110
01.06.2018,00:26:50,99.8,110
01.06.2018,00:27:00,99.8,109.9
01.06.2018,00:27:10,99.8,109.9
01.06.2018,00:27:20,99.8,109.9
01.06.2018,00:27:30,99.7,109.8
01.06.2018,00:27:40,99.7,109.9
01.06.2018,00:27:50,99.7,109.8
01.06.2018,00:28:00,99.8,109.7
01.06.2018,00:28:10,99.8,109.8
01.06.2018,00:28:20,99.7,109.9
01.06.2018,00:28:30,99.7,109.8
01.06.2018,00:28:40,99.7,109.8
01.06.2018,00:28:50,99.8,109.7
01.06.2018,00:29:00,99.8,109.8
01.06.2018,00:29:10,99.9,109.7
01.06.2018,00:29:20,99.9,109.7
01.06.2018,00:29:30,99.8,109.7
01.06.2018,00:29:40,99.7,109.5
01.06.2018,00:29:50,99.8,109.6
01.06.2018,00:30:00,99.7,109.6
01.06.2018,00:30:10,99.8,109.6
01.06.2018,00:30:20,99.6,109.6
01.06.2018,00:30:30,99.8,109.6
01.06.2018,00:30:40,99.9,109.5
01.06.2018,00:30:50,99.9,109.5
01.06.2018,00:31:00,99.7,109.5
01.06.2018,00:31:10,99.8,109.5
01.06.2018,00:31:20,99.9,109.5
01.06.2018,00:31:30,99.8,109.5
01.06.2018,00:31:40,99.9,109.5
01.06.2018,00:31:50,99.8,109.4
01.06.2018,00:32:00,99.8,109.4
01.06.2018,00:32:10,99.8,109.5
01.06.2018,00:32:20,99.7,109.4
01.06.2018,00:32:30,99.8,109.4
01.06.2018,00:32:40,99.9,109.4
01.06.2018,00:32:50,99.8,109.3
01.06.2018,00:33:00,99.9,109.4
01.06.2018,00:33:10,99.9,109.4
01.06.2018,00:33:20,99.9,109.2
01.06.2018,00:33:30,99.8,109.2
01.06.2018,00:33:40,99.9,109.3
01.06.2018,00:33:50,100,109.3
01.06.2018,00:34:00,99.8,109.3
01.06.2018,00:34:10,99.9,109.2
01.06.2018,00:34:20,100,109.2
01.06.2018,00:34:30,99.9,109.2
01.06.2018,00:34:40,99.8,109.2
01.06.2018,00:34:50,99.8,109.2
01.06.2018,00:35:00,99.8,109.3
01.06.2018,00:35:10,99.8,109.3
01.06.2018,00:35:20,99.8,109.3
01.06.2018,00:35:30,99.8,109.2
01.06.2018,00:35:40,99.8,109.3
01.06.2018,00:35:50,99.8,109.3
01.06.2018,00:36:00,99.8,109.2
01.06.2018,00:36:10,99.8,109.3
01.06.2018,00:36:20,99.8,109.2
01.06.2018,00:36:30,99.8,109.2
01.06.2018,00:36:40,99.8,109.2
01.06.2018,00:36:50,99.8,109.2
01.06.2018,00:37:00,99.8,109.1
01.06.2018,00:37:10,99.8,109.1
01.06.2018,00:37:20,99.8,109.2
01.06.2018,00:37:30,99.8,109.1
01.06.2018,00:37:40,99.8,109.1
01.06.2018,00:37:50,99.8,109.2
01.06.2018,00:38:00,99.8,109.1
01.06.2018,00:38:10,99.8,109.1
01.06.2018,00:38:20,99.8,109.1
01.06.2018,00:38:30,99.8,109.1
01.06.2018,00:38:40,99.8,108.9
01.06.2018,00:38:50,99.8,109
01.06.2018,00:39:00,99.8,109
01.06.2018,00:39:10,99.8,108.9
01.06.2018,00:39:20,99.8,109
01.06.2018,00:39:30,99.8,109
01.06.2018,00:39:40,99.8,109
01.06.2018,00:39:50,99.8,108.9
01.06.2018,00:40:00,99.8,109
01.06.2018,00:40:10,99.8,108.8
01.06.2018,00:40:20,99.8,108.9
01.06.2018,00:40:30,99.8,108.9
01.06.2018,00:40:40,99.8,108.9
01.06.2018,00:40:50,99.8,108.8
01.06.2018,00:41:00,99.8,108.8
01.06.2018,00:41:10,99.8,108.8
01.06.2018,00:41:20,99.8,108.8
01.06.2018,00:41:30,99.8,108.8
01.06.2018,00:41:40,99.8,108.8
01.06.2018,00:41:50,99.8,108.7
01.06.2018,00:42:00,99.8,108.8
01.06.2018,00:42:10,99.8,108.7
01.06.2018,00:42:20,99.8,108.7
01.06.2018,00:42:30,99.8,108.7
01.06.2018,00:42:40,99.8,108.6
01.06.2018,00:42:50,99.8,108.7
01.06.2018,00:43:00,99.8,108.6
01.06.2018,00:43:10,99.8,108.6
01.06.2018,00:43:20,99.7,108.7
01.06.2018,00:43:30,99.8,108.6
01.06.2018,00:43:40,99.9,108.6
01.06.2018,00:43:50,100.1,108.6
01.06.2018,00:44:00,99.9,108.5
01.06.2018,00:44:10,99.9,108.5
01.06.2018,00:44:20,99.9,108.5
01.06.2018,00:44:30,99.9,108.5
01.06.2018,00:44:40,99.9,108.5
01.06.2018,00:44:50,99.8,108.4
01.06.2018,00:45:00,99.8,108.4
01.06.2018,00:45:10,99.8,108.4
01.06.2018,00:45:20,99.9,108.4
01.06.2018,00:45:30,99.9,108.4
01.06.2018,00:45:40,99.9,108.4
01.06.2018,00:45:50,99.9,108.3
01.06.2018,00:46:00,99.8,108.4
01.06.2018,00:46:10,99.8,108.4
01.06.2018,00:46:20,100,108.3
01.06.2018,00:46:30,99.9,108.3
01.06.2018,00:46:40,100,108.3
01.06.2018,00:46:50,99.9,108.2
01.06.2018,00:47:00,99.9,108.2
01.06.2018,00:47:10,99.8,108.2
01.06.2018,00:47:20,99.9,108.2
01.06.2018,00:47:30,99.8,108.2
01.06.2018,00:47:40,99.8,108.2
01.06.2018,00:47:50,100,108.2
01.06.2018,00:48:00,99.9,108.1
01.06.2018,00:48:10,100,108.1
01.06.2018,00:48:20,99.8,108
01.06.2018,00:48:30,99.9,108.1
01.06.2018,00:48:40,99.8,108
01.06.2018,00:48:50,99.8,108.1
01.06.2018,00:49:00,99.9,108
01.06.2018,00:49:10,99.8,108.1
01.06.2018,00:49:20,99.8,108
01.06.2018,00:49:30,99.9,107.9
01.06.2018,00:49:40,99.8,108
01.06.2018,00:49:50,99.9,108
01.06.2018,00:50:00,99.9,108
01.06.2018,00:50:10,99.9,108
01.06.2018,00:50:20,99.9,108
01.06.2018,00:50:30,99.9,107.8
01.06.2018,00:50:40,99.9,108
01.06.2018,00:50:50,99.9,107.9
01.06.2018,00:51:00,99.8,107.9
01.06.2018,00:51:10,99.8,108
01.06.2018,00:51:20,99.9,108
01.06.2018,00:51:30,99.8,108
01.06.2018,00:51:40,100,107.9
01.06.2018,00:51:50,99.9,107.9
01.06.2018,00:52:00,100,107.9
01.06.2018,00:52:10,99.9,107.9
01.06.2018,00:52:20,99.8,107.9
01.06.2018,00:52:30,99.9,107.9
01.06.2018,00:52:40,100,108
01.06.2018,00:52:50,99.8,107.9
01.06.2018,00:53:00,99.9,108
01.06.2018,00:53:10,100,108
01.06.2018,00:53:20,100,107.8
01.06.2018,00:53:30,99.8,107.9
01.06.2018,00:53:40,99.9,107.9
01.06.2018,00:53:50,99.9,107.9
01.06.2018,00:54:00,99.9,107.9
01.06.2018,00:54:10,99.9,107.8
01.06.2018,00:54:20,99.9,107.8
01.06.2018,00:54:30,99.9,107.8
01.06.2018,00:54:40,100,107.8
01.06.2018,00:54:50,99.9,107.7
01.06.2018,00:55:00,99.9,107.7
01.06.2018,00:55:10,99.9,107.7
01.06.2018,00:55:20,99.9,107.8
01.06.2018,00:55:30,99.9,107.7
01.06.2018,00:55:40,99.9,107.7
01.06.2018,00:55:50,99.9,107.7
01.06.2018,00:56:00,99.9,107.7
01.06.2018,00:56:10,99.9,107.7
01.06.2018,00:56:20,99.9,107.7
01.06.2018,00:56:30,99.9,107.6
01.06.2018,00:56:40,99.9,107.7
01.06.2018,00:56:50,99.9,107.6
01.06.2018,00:57:00,99.9,107.5
01.06.2018,00:57:10,99.9,107.6
01.06.2018,00:57:20,99.9,107.5
01.06.2018,00:57:30,99.9,107.5
01.06.2018,00:57:40,99.9,107.6
01.06.2018,00:57:50,99.9,107.5
01.06.2018,00:58:00,99.9,107.5
01.06.2018,00:58:10,99.9,107.4
01.06.2018,00:58:20,99.9,107.5
01.06.2018,00:58:30,99.9,107.5
01.06.2018,00:58:40,99.9,107.4
01.06.2018,00:58:50,99.9,107.4
01.06.2018,00:59:00,99.9,107.4
01.06.2018,00:59:10,99.9,107.3
01.06.2018,00:59:20,99.9,107.4
01.06.2018,00:59:30,99.9,107.3
01.06.2018,00:59:40,99.9,107.3
01.06.2018,00:59:50,99.9,107.3
01.06.2018,01:00:00,99.9,107.2
01.06.2018,01:00:10,99.8,107.3
01.06.2018,01:00:20,99.9,107.2
01.06.2018,01:00:30,99.9,107.2
01.06.2018,01:00:40,99.9,107.2
01.06.2018,01:00:50,99.9,107.3
01.06.2018,01:01:00,99.9,107.2
01.06.2018,01:01:10,99.9,107.2
01.06.2018,01:01:20,99.9,107.1
01.06.2018,01:01:30,99.8,107.2
01.06.2018,01:01:40,99.8,107.2
01.06.2018,01:01:50,99.8,107.2
01.06.2018,01:02:00,99.8,107.1
01.06.2018,01:02:10,99.8,107.1
01.06.2018,01:02:20,99.8,107.1
01.06.2018,01:02:30,99.8,107
01.06.2018,01:02:40,99.8,107
01.06.2018,01:02:50,99.9,107.1
